Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Gift card,SEO title,SEO description
HOLY MOLY 入门款120色套装,holy-moly-beginner-120,"专为新手打造的治愈系拼豆套装，120色丰富色系满足基础创作，搭配专用小熨斗与60000颗优质拼豆，上手零难度，轻松解锁手工乐趣，亲子、解压、创意DIY首选。A soothing bead set specially designed for beginners, featuring 120 vibrant colors for all your basic creations. Comes with a dedicated mini iron and 60,000 high-quality beads, making it easy to start with zero hassle. Perfect for parent-child activities, stress relief, and creative DIY fun.",Holy Moly Beads,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Kits,DIY Kit,"beginner,120 colors,starter set",TRUE,active,HM-120-001,,,,,,23.47,,23.47,TRUE,,shopify,50,DENY,500,g,TRUE,manual,,,,FALSE,HOLY MOLY 入门款120色套装 | Holy Moly Beads,HOLY MOLY 入门款120色套装 120色拼豆套装 送小熨斗+60000颗豆+配件材料包
HOLY MOLY 入门款221色套装,holy-moly-beginner-221,"进阶玩家必备全色套装，221种色彩全覆盖，层次与创作力拉满，专用小熨斗适配精细熨烫，110500颗高品质拼豆质感细腻，轻松完成高难度创意作品。A must-have full-color set for advanced crafters, featuring 221 vibrant colors for complete coverage and unlimited creative potential. Comes with a dedicated mini iron for precise fusing, and 110,500 high-quality beads with a smooth texture, making it easy to create complex and intricate designs.",Holy Moly Beads,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Kits,DIY Kit,"advanced,221 colors,full set",TRUE,active,HM-221-001,,,,,,41.53,,41.53,TRUE,,shopify,30,DENY,800,g,TRUE,manual,,,,FALSE,HOLY MOLY 入门款221色套装 | Holy Moly Beads,HOLY MOLY 入门款221色套装 221色拼豆套装 送小熨斗+110500颗豆+配件材料包
HOLY MOLY 大师款120色大容量套装,holy-moly-master-120,"畅玩无压力大容量配置，120色经典色系+120000颗足量拼豆，搭配大功率大熨斗，熨烫更快更均匀，长时间手工创作不中断，快乐加倍不设限。Enjoy stress-free, large-capacity crafting with 120 classic colors and 120,000 high-quality beads. Paired with a powerful large iron for faster and more even fusing, this set allows you to create for hours without interruption, doubling the fun and creativity with no limits.",Holy Moly Beads,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Kits,DIY Kit,"master,120 colors,large capacity",TRUE,active,HM-120M-001,,,,,,37.36,,37.36,TRUE,,shopify,25,DENY,1000,g,TRUE,manual,,,,FALSE,HOLY MOLY 大师款120色大容量套装 | Holy Moly Beads,HOLY MOLY 大师款120色大容量套装 送大熨斗+120000颗豆
HOLY MOLY 大师款221色顶配套装,holy-moly-master-221,"专业级顶配拼豆套装，221色全色系+221000颗超大容量，搭配高效大熨斗，满足高复杂度、大尺寸作品创作，手工爱好者与资深玩家的终极选择。The ultimate professional-grade bead set, featuring 221 full-spectrum colors and 221,000 high-quality beads for massive capacity. Paired with a high-performance large iron, it's perfect for creating complex, large-scale designs, making it the top choice for hobbyists and advanced crafters.",Holy Moly Beads,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Kits,DIY Kit,"master,221 colors,premium",TRUE,active,HM-221M-001,,,,,,69.31,,69.31,TRUE,,shopify,20,DENY,1500,g,TRUE,manual,,,,FALSE,HOLY MOLY 大师款221色顶配套装 | Holy Moly Beads,HOLY MOLY 大师款221色顶配套装 送大熨斗+221000颗豆
HOLY MOLY 色系补色套装,holy-moly-color-refill,"缺色一键补齐！多色系可选，高品质融合拼豆，颜色纯正、不易断、熨烫贴合，按需补充不浪费，让创作始终色彩完整。Easily Refill Missing Colors! Choose from multiple color collections of high-quality fusion beads with vibrant, true-to-color shades that are durable and fuse perfectly. Refill only what you need—no waste—and keep your creations always colorful and complete.",Holy Moly Beads,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Kits,Refill,"refill,color collection",TRUE,active,HM-REFILL-001,,Color Collection,Red Series,,5.42,,5.42,TRUE,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,HOLY MOLY 色系补色套装 | Holy Moly Beads,HOLY MOLY 色系补色套装 多色系可选 高品质融合豆
HOLY MOLY 色系补色套装,holy-moly-color-refill,,,,,,,,HM-REFILL-002,,Color Collection,Blue Series,,5.42,,5.42,,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,,
HOLY MOLY 色系补色套装,holy-moly-color-refill,,,,,,,,HM-REFILL-003,,Color Collection,Green Series,,5.42,,5.42,,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,,
HOLY MOLY 色系补色套装,holy-moly-color-refill,,,,,,,,HM-REFILL-004,,Color Collection,Yellow Series,,5.42,,5.42,,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,,
HOLY MOLY 色系补色套装,holy-moly-color-refill,,,,,,,,HM-REFILL-005,,Color Collection,Pink Series,,5.42,,5.42,,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,,
HOLY MOLY 色系补色套装,holy-moly-color-refill,,,,,,,,HM-REFILL-006,,Color Collection,Purple Series,,5.42,,5.42,,,shopify,100,DENY,200,g,TRUE,manual,,,,FALSE,,
